aX,aY,aZ,gX,gY,gZ
-0.725,-0.353,2.303,217.102,-121.155,164.062
-0.725,0.251,2.990,156.677,-114.502,176.880
-0.551,0.855,2.895,66.406,-64.880,176.270
-0.440,1.176,2.062,-27.222,4.395,160.583
-0.415,1.350,1.043,-95.886,60.120,137.024
-0.396,1.519,0.237,-129.761,84.839,111.755
-0.346,1.658,-0.331,-136.841,88.318,82.092
-0.284,1.714,-0.759,-119.629,88.318,48.157
-0.200,1.621,-1.086,-80.017,87.708,11.780
-0.115,1.427,-1.214,-35.095,82.642,-25.757
0.045,1.017,-1.055,9.094,66.956,-66.284
0.234,0.456,-0.718,42.358,48.706,-103.821
0.467,-0.076,-0.478,60.974,42.175,-127.014
0.680,-0.513,-0.452,65.979,47.729,-132.141
0.872,-0.840,-0.523,63.721,53.833,-123.230
1.024,-1.017,-0.589,59.509,51.941,-104.309
1.091,-1.024,-0.609,54.260,44.739,-79.346
1.098,-0.869,-0.565,48.279,34.851,-53.223
1.072,-0.630,-0.523,40.527,25.024,-32.837
1.040,-0.424,-0.464,32.410,16.052,-21.423
1.037,-0.324,-0.370,25.391,7.935,-17.273
1.055,-0.357,-0.238,20.142,1.892,-16.357
1.063,-0.395,-0.054,12.878,-3.418,-12.573
1.090,-0.410,0.081,-0.305,-6.104,-5.310
1.124,-0.442,0.098,-13.306,-3.540,1.953
1.130,-0.394,-0.009,-22.034,2.747,10.925
1.106,-0.276,-0.146,-21.362,10.071,24.658
1.027,-0.093,-0.369,-9.216,11.475,26.001
1.012,-0.059,-0.353,5.615,6.897,23.987
0.992,-0.023,-0.229,15.930,-1.343,21.912
0.978,-0.016,-0.087,23.499,-6.592,19.531
0.968,-0.023,0.060,26.245,-10.437,17.273
0.944,0.030,0.167,20.142,-11.169,18.188
0.913,0.130,0.145,8.789,-7.141,20.813
0.889,0.215,0.036,-3.662,-2.747,20.203
0.881,0.222,-0.110,-13.550,-1.343,15.015
0.893,0.170,-0.257,-16.418,-1.465,8.057
0.903,0.114,-0.342,-12.268,-2.502,2.991
0.921,0.092,-0.361,-3.540,-5.066,0.366
0.941,0.048,-0.322,7.324,-8.850,-1.404
0.973,0.005,-0.199,18.433,-13.550,-0.122
0.989,-0.011,0.086,20.752,-20.813,2.747
0.961,0.035,0.146,12.146,-19.775,6.470
0.937,0.117,0.160,1.770,-17.456,8.667
0.938,0.159,0.096,-6.287,-12.573,6.348
0.957,0.117,-0.024,-7.446,-6.653,-0.122
0.988,0.020,-0.105,-0.427,-3.052,-6.104
1.022,-0.082,-0.112,9.827,-2.563,-9.460
1.044,-0.147,-0.059,16.785,-3.845,-8.545
1.056,-0.175,0.007,19.287,-5.005,-4.333
1.052,-0.198,0.052,15.808,-5.493,0.977
1.052,-0.205,0.085,8.301,-7.812,8.057
1.026,-0.166,0.099,-2.747,-12.756,16.479
0.975,-0.027,0.109,-14.954,-16.724,25.940
0.917,0.164,0.116,-25.391,-18.860,29.785
0.898,0.254,0.023,-28.870,-11.108,21.606
0.905,0.194,0.000,-20.081,-5.798,14.038
