aX,aY,aZ,gX,gY,gZ
0.141,0.026,1.028,-6.775,-1.343,5.066
0.130,0.064,1.011,-7.263,-1.038,4.395
0.124,0.085,0.995,-6.714,-1.587,2.319
0.129,0.078,0.999,-4.150,-2.441,-0.183
0.136,0.062,1.013,-1.587,-3.357,-2.258
0.145,0.043,1.009,-0.305,-3.540,-4.211
0.153,0.020,1.001,0.183,-3.662,-6.348
0.164,-0.005,0.987,1.282,-3.662,-7.935
0.175,-0.064,1.027,4.272,-4.333,-7.385
0.175,-0.067,1.024,2.869,-3.235,-6.042
0.172,-0.057,1.013,1.343,-2.014,-4.578
0.173,-0.050,0.993,0.488,-1.160,-3.357
0.171,-0.058,0.998,1.404,-1.526,-2.625
0.165,-0.052,1.032,1.160,-2.075,-1.770
0.161,-0.035,1.026,-1.831,-1.038,-0.854
0.156,-0.021,1.000,-3.967,-0.183,-0.671
0.156,-0.006,0.983,-4.333,-0.122,-0.671
0.154,0.000,0.990,-2.869,-0.793,-0.732
0.150,0.001,1.010,-1.038,-1.709,-1.404
0.149,0.002,1.019,-0.549,-1.892,-1.648
0.148,0.004,1.014,-0.610,-1.404,-1.892
0.150,0.005,1.005,-0.671,-1.282,-2.258
0.152,0.001,0.988,-0.305,-1.221,-2.563
0.154,-0.007,0.989,0.916,-1.831,-3.113
0.154,-0.023,1.006,2.686,-2.563,-3.723
0.154,-0.027,1.016,2.930,-2.563,-3.906
-0.449,1.391,1.271,39.917,-1.282,-153.198
-0.459,1.343,1.318,49.805,-1.221,-226.013
-0.548,1.028,1.151,42.419,6.470,-290.161
-0.567,0.604,1.074,26.672,11.169,-339.478
-0.428,0.209,0.959,12.024,13.306,-371.826
-0.270,-0.161,1.040,-2.563,8.484,-385.071
-0.180,-0.443,1.087,-21.912,11.353,-380.859
-0.183,-0.585,1.066,-44.189,21.606,-364.380
-0.239,-0.626,0.972,-58.899,31.738,-341.614
-0.166,-0.563,0.880,-60.181,37.842,-321.838
-0.016,-0.620,0.891,-53.284,33.691,-305.908
0.069,-0.692,0.871,-56.946,29.053,-289.429
0.106,-0.764,0.859,-66.284,25.269,-269.836
0.148,-0.848,0.895,-71.289,17.883,-245.911
0.187,-0.952,0.941,-70.496,10.254,-219.116
0.273,-1.146,0.934,-59.937,3.235,-188.904
0.372,-1.448,1.033,-34.729,-5.188,-152.161
0.516,-1.801,1.088,-1.953,-5.737,-103.394
0.624,-1.978,1.039,26.611,2.136,-37.964
0.655,-2.096,1.061,57.861,8.545,36.194
0.664,-2.025,1.091,72.388,12.451,116.516
0.501,-1.769,1.088,51.514,21.912,196.411
0.207,-1.325,0.976,16.846,38.513,265.991
0.067,-1.059,0.890,-2.075,46.082,318.054
-0.030,-0.903,0.807,-13.123,48.645,356.262
-0.137,-0.782,0.698,-20.447,45.593,385.437
-0.199,-0.708,0.718,-24.780,33.447,407.288
-0.346,-0.562,0.814,-32.104,23.254,444.824
-0.535,-0.229,0.867,-30.579,16.357,462.402
-0.487,0.749,0.597,-14.648,39.490,461.304
-0.869,1.039,1.147,-0.427,9.644,424.438
-0.726,1.386,1.162,10.193,-27.771,383.545
-0.567,1.586,1.134,11.841,-20.142,332.642
-0.409,1.635,0.870,18.494,-6.592,265.564
-0.355,1.553,0.841,45.471,-8.118,198.303
-0.239,1.517,0.864,81.055,-11.292,138.428
-0.096,1.366,0.785,109.924,-7.568,80.200
-0.164,1.150,0.903,128.418,-16.174,24.658
-0.119,0.921,1.042,137.329,-23.499,-19.653
-0.047,0.692,1.000,131.287,-13.916,-52.856
-0.023,0.564,0.949,119.385,-7.141,-78.735
-0.112,0.523,0.964,117.676,-8.850,-104.553
-0.312,0.749,0.971,119.263,-12.451,-132.690
-0.419,0.967,1.105,130.737,-21.912,-173.401
-0.558,1.129,1.232,154.358,-30.701,-227.783
-0.626,1.100,1.237,165.466,-24.475,-293.823
-0.691,0.768,1.283,160.522,-12.512,-366.150
-0.604,0.271,1.433,130.920,0.549,-421.082
-0.579,-0.191,1.522,60.120,26.306,-445.374
-0.587,-0.513,1.302,-28.076,64.148,-448.303
-0.510,-0.808,0.880,-89.722,92.957,-440.674
-0.475,-1.141,0.850,-103.760,83.008,-422.363
-0.356,-1.533,1.080,-80.078,60.730,-389.160
-0.090,-2.003,1.372,-37.842,54.626,-343.628
0.139,-2.297,1.509,-7.812,70.435,-282.043
0.302,-2.439,1.367,-11.597,97.168,-206.177
0.396,-2.433,0.955,-35.828,119.324,-124.939
0.410,-2.240,0.667,-60.059,118.713,-44.128
0.395,-1.952,0.468,-72.144,103.760,30.212
0.347,-1.650,0.260,-76.172,85.510,92.407
0.270,-1.404,0.141,-72.205,58.167,140.503
0.204,-1.248,0.254,-52.124,31.128,179.077
0.147,-1.249,0.510,-16.052,7.812,214.233
-0.065,-1.550,0.775,10.376,-9.827,256.042
0.021,-0.708,1.008,17.761,-16.113,337.463
-0.146,-0.615,1.062,4.517,-7.019,345.032
-0.312,-0.095,0.652,-12.024,32.104,351.501
-0.436,0.296,1.240,-15.381,-34.302,344.238
-0.343,0.531,1.220,-32.166,-28.748,334.167
