aX,aY,aZ,gX,gY,gZ
-3.373,-0.717,0.127,-232.117,-37.659,-794.556
-3.359,-0.776,0.175,-231.201,-81.604,-785.583
-3.348,-0.845,0.228,-231.262,-124.817,-776.367
-3.323,-0.914,0.287,-245.544,-169.006,-761.108
-3.267,-0.958,0.381,-284.607,-216.003,-737.671
-3.139,-0.983,0.507,-329.529,-270.264,-704.590
-3.016,-1.004,0.640,-342.651,-323.853,-662.415
-2.877,-1.025,0.731,-317.627,-364.258,-608.093
-2.747,-1.038,0.802,-280.640,-396.973,-549.500
-2.586,-1.046,0.872,-247.498,-424.377,-493.774
-2.420,-1.046,0.932,-225.952,-440.430,-437.012
-2.287,-1.022,0.998,-214.050,-445.557,-376.221
-2.194,-0.993,1.054,-194.275,-445.679,-315.247
-2.083,-0.970,1.085,-162.903,-443.237,-256.592
-1.997,-0.942,1.128,-138.550,-436.035,-200.256
-1.959,-0.883,1.179,-121.643,-420.105,-144.897
-1.950,-0.832,1.203,-92.834,-399.597,-94.788
-1.913,-0.786,1.229,-67.627,-380.432,-49.561
-1.824,-0.733,1.265,-57.251,-360.474,-7.996
-1.787,-0.669,1.300,-47.852,-333.923,31.250
-1.774,-0.609,1.305,-31.799,-298.279,67.505
-1.770,-0.555,1.308,-14.893,-265.625,97.656
-1.780,-0.493,1.305,-2.319,-234.192,126.709
-1.822,-0.435,1.287,7.385,-202.148,149.231
-1.805,-0.382,1.274,11.047,-174.133,164.978
-1.707,-0.327,1.286,8.667,-152.405,179.626
-1.633,-0.262,1.284,10.559,-127.808,194.092
-1.612,-0.210,1.261,17.517,-97.656,201.599
-1.547,-0.173,1.234,18.555,-70.984,200.806
-1.382,-0.124,1.221,9.033,-50.171,200.500
-1.163,-0.067,1.207,2.075,-35.278,200.989
-1.142,-0.039,1.203,6.348,-26.917,193.848
-1.430,-0.007,1.147,22.034,-5.554,191.101
-1.751,0.025,1.046,55.420,19.470,191.833
-1.879,0.004,0.974,86.548,20.630,172.791
-1.873,-0.008,0.950,75.256,14.832,143.616
-1.828,0.018,0.946,35.339,19.653,120.850
-1.760,0.018,0.944,13.977,26.794,91.919
-1.588,0.009,0.948,9.338,31.616,64.819
-1.383,0.001,0.951,1.892,41.443,45.166
-1.200,-0.011,0.947,-13.428,57.190,28.259
-1.018,-0.003,0.943,-26.794,76.660,20.752
-0.902,-0.010,0.912,-19.897,99.182,18.250
-0.845,-0.030,0.850,-4.944,124.023,16.357
-0.820,-0.045,0.783,-3.845,147.156,14.954
-0.839,-0.055,0.723,-11.963,165.771,11.902
-0.865,-0.072,0.653,-16.052,178.955,5.615
-0.880,-0.098,0.588,-14.404,184.753,-2.197
-0.861,-0.120,0.531,-15.686,184.021,-7.507
-0.822,-0.138,0.486,-21.301,179.871,-10.925
-0.781,-0.154,0.445,-25.146,173.096,-12.878
-0.733,-0.172,0.406,-23.987,163.330,-12.817
-0.657,-0.187,0.376,-21.423,149.353,-10.193
-0.580,-0.196,0.356,-19.897,132.996,-4.150
-0.542,-0.198,0.336,-16.541,119.385,4.211
-0.552,-0.201,0.312,-9.827,106.079,12.695
-0.562,-0.202,0.290,-3.845,88.440,21.667
-0.548,-0.198,0.282,-2.441,65.735,29.602
-0.542,-0.189,0.288,-5.920,41.443,36.926
-0.547,-0.173,0.301,-8.179,19.287,44.739
-0.551,-0.154,0.330,-5.493,-3.418,53.101
-0.551,-0.137,0.372,-2.014,-26.367,61.462
-0.557,-0.113,0.423,-3.723,-47.424,69.885
-0.576,-0.086,0.479,-8.118,-65.125,76.721
-0.609,-0.059,0.532,-8.240,-79.285,82.703
-0.659,-0.034,0.584,-3.113,-91.064,87.830
-0.705,-0.010,0.632,2.808,-100.830,91.125
-0.749,0.009,0.679,3.235,-108.765,90.149
-0.792,0.029,0.729,-3.784,-114.502,86.060
-0.828,0.052,0.779,-12.512,-118.225,80.994
-0.845,0.069,0.826,-16.541,-120.117,73.303
-0.848,0.078,0.872,-19.043,-120.544,62.683
-0.845,0.089,0.918,-24.170,-117.249,52.917
-0.844,0.096,0.958,-28.809,-109.802,43.396
-0.844,0.102,0.992,-30.090,-100.586,34.302
-0.835,0.109,1.016,-28.625,-88.928,26.794
-0.827,0.114,1.038,-25.696,-74.951,18.738
-0.815,0.115,1.052,-24.475,-59.448,9.155
-0.794,0.117,1.062,-25.269,-43.152,-0.244
-0.778,0.111,1.063,-24.719,-25.879,-11.047
-0.784,0.094,1.050,-23.254,-7.874,-23.621
-0.791,0.068,1.020,-23.437,9.644,-36.194
-0.791,0.038,0.984,-25.269,25.879,-48.340
-0.791,0.006,0.938,-25.879,40.833,-58.838
-1.241,0.511,0.874,51.270,20.081,137.817
-1.333,0.538,0.871,49.133,27.100,142.090
-1.425,0.558,0.872,48.218,32.898,141.907
-1.490,0.583,0.877,47.302,36.133,140.381
-1.517,0.614,0.888,45.959,39.917,138.733
-1.529,0.638,0.898,47.485,45.715,132.324
-1.561,0.663,0.905,51.636,55.481,122.192
-1.575,0.688,0.903,57.617,67.200,110.046
-1.570,0.708,0.903,64.392,77.820,93.445
-1.568,0.728,0.898,68.909,90.820,71.655
-1.588,0.739,0.887,71.899,105.957,43.762
-1.586,0.746,0.871,74.158,119.324,12.207
-1.585,0.750,0.854,75.500,131.165,-21.790
-1.668,0.729,0.819,75.500,144.226,-62.439
-1.819,0.692,0.777,72.510,157.166,-104.004
-1.889,0.672,0.744,68.726,168.152,-139.526
-1.814,0.668,0.717,74.463,175.903,-173.279
-1.730,0.640,0.670,84.412,185.913,-213.074
-1.700,0.603,0.611,81.970,200.073,-256.348
-1.767,0.555,0.555,67.749,212.585,-304.565
-1.903,0.485,0.489,52.490,221.558,-357.971
-2.032,0.412,0.428,36.377,225.220,-408.936
-2.127,0.336,0.367,22.400,221.741,-456.238
-2.268,0.257,0.333,12.207,212.891,-499.695
-2.289,0.182,0.285,7.568,202.637,-538.635
-2.299,0.116,0.259,3.845,189.331,-571.289
-2.364,0.021,0.228,-4.395,179.871,-611.206
-2.481,-0.054,0.199,-16.846,171.570,-640.930
-2.553,-0.128,0.178,-24.902,158.203,-664.856
-2.635,-0.213,0.158,-25.024,141.052,-688.049
-2.725,-0.296,0.125,-27.710,125.427,-703.125
-2.772,-0.368,0.116,-41.626,106.934,-710.144
-2.736,-0.417,0.129,-63.660,81.604,-710.083
-2.676,-0.458,0.139,-79.163,56.091,-708.313
-2.663,-0.516,0.142,-88.013,32.043,-712.402
-2.647,-0.582,0.151,-97.107,5.737,-714.172
-2.595,-0.630,0.172,-115.723,-21.790,-704.468
-2.541,-0.669,0.207,-134.949,-53.040,-689.636
-2.490,-0.717,0.240,-146.851,-85.876,-673.523
-2.411,-0.761,0.272,-152.405,-118.530,-653.015
-2.352,-0.800,0.319,-162.231,-150.391,-628.479
-2.250,-0.839,0.365,-174.683,-182.312,-604.187
-2.062,-0.875,0.444,-191.223,-216.858,-575.073
-1.863,-0.889,0.528,-201.538,-244.385,-534.851
-1.814,-0.885,0.591,-196.411,-260.315,-488.159
-1.838,-0.871,0.640,-179.199,-270.081,-445.068
-1.773,-0.880,0.675,-156.555,-284.851,-411.255
-1.629,-0.896,0.742,-143.433,-307.251,-382.202
-1.436,-0.906,0.810,-138.855,-319.946,-347.534
-1.293,-0.890,0.878,-133.789,-320.679,-303.345
-1.206,-0.868,0.930,-118.347,-313.171,-257.446
-1.130,-0.849,0.958,-93.140,-302.673,-213.684
-1.037,-0.828,0.982,-74.097,-281.555,-128.662
-0.901,-0.755,1.050,-52.673,-267.700,-86.975
-0.905,-0.713,1.064,-26.184,-250.732,-45.715
-0.957,-0.668,1.060,-0.427,-233.459,-7.263
-0.995,-0.623,1.053,11.902,-218.689,26.123
-1.018,-0.563,1.070,12.085,-208.069,57.739
-1.093,-0.500,1.078,17.761,-195.679,86.609
-1.163,-0.450,1.066,34.668,-183.167,109.741
-1.166,-0.405,1.064,48.340,-176.941,128.235
-1.156,-0.351,1.071,47.363,-171.265,145.142
-1.168,-0.297,1.082,40.222,-161.987,157.227
-1.185,-0.243,1.092,39.917,-152.954,165.894
-1.198,-0.193,1.093,48.035,-144.592,172.974
-1.213,-0.153,1.090,55.481,-136.475,175.476
-1.313,-0.065,1.091,50.903,-123.779,169.189
-1.352,-0.034,1.095,48.462,-119.751,158.264
-1.341,-0.007,1.109,45.349,-119.934,145.325
-1.307,0.020,1.132,38.513,-119.446,131.836
-1.290,0.045,1.156,30.396,-114.807,116.760
-1.250,0.067,1.179,24.231,-107.666,99.365
-1.188,0.084,1.204,19.104,-98.877,81.665
-1.111,0.108,1.231,14.587,-85.876,64.331
-1.003,0.132,1.238,16.052,-67.932,45.898
-0.822,0.120,1.234,17.151,-49.255,17.700
-0.724,0.111,1.234,6.592,-33.691,-8.667
-0.941,0.089,1.188,3.113,-13.855,-29.602
-1.283,0.044,1.081,28.259,10.132,-46.082
